id,lat,lon,category,geometry,address,geom,address_list,region,city,clusters
2084,39.85715187,-4.02431421,B,POINT (-4.02431421 39.85715187),"Catedral de Santa María, Calle de La Sinagoga, Toledo, Castilla-La Mancha, 45002, España","('39.85715187', '-4.02431421')","['Catedral de Santa María', 'Calle de La Sinagoga', 'Toledo', 'Castilla-La Mancha', '45002', 'España']",Castilla-La Mancha,Toledo,11
2085,37.5171086,-5.97857253,B,POINT (-5.97857253 37.5171086),"Alcalá del Río, Sevilla, Andalucía, 41200, España","('37.5171086', '-5.97857253')","['Alcalá del Río', 'Sevilla', 'Andalucía', '41200', 'España']",Andalucía,Sevilla,2
2086,43.30474474,-8.505070236,B,POINT (-8.505070236 43.30474474),"Casa do Concello, 1, Praza Alcalde Ramón Dopico, As Carballas, A Cachopa, Arteixo, A Coruña, Galicia, 15142, España","('43.30474474', '-8.505070236')","['Casa do Concello', '1', 'Praza Alcalde Ramón Dopico', 'As Carballas', 'A Cachopa', 'Arteixo', 'A Coruña', 'Galicia', '15142', 'España']",Galicia,A Coruña,5
2087,28.09937855,-15.41336841,B,POINT (-15.41336841 28.09937855),"9, Calle Juan E. Doreste, Vegueta, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35001, España","('28.09937855', '-15.41336841')","['9', 'Calle Juan E. Doreste', 'Vegueta', 'Las Palmas de Gran Canaria', 'Las Palmas', 'Canarias', '35001', 'España']",Canarias,Las Palmas,1
2088,40.42532521,-3.53500587,B,POINT (-3.53500587 40.42532521),"Ayuntamiento de San Fernando de Henares, Plaza de España, San Fernando de Henares, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28830, España","('40.42532521', '-3.53500587')","['Ayuntamiento de San Fernando de Henares', 'Plaza de España', 'San Fernando de Henares', 'Área metropolitana de Madrid y Corredor del Henares', 'Comunidad de Madrid', '28830', 'España']",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del Henares,9
2089,36.72034267,-4.41997511,B,POINT (-4.41997511 36.72034267),"Torre Norte, Calle Molina Lario, Centro Histórico, Centro, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29008, España","('36.72034267', '-4.41997511')","['Torre Norte', 'Calle Molina Lario', 'Centro Histórico', 'Centro', 'Málaga', 'Málaga-Costa del Sol', 'Málaga', 'Andalucía', '29008', 'España']",Andalucía,Málaga,7
2090,36.74821011,-5.80640518,B,POINT (-5.80640518 36.74821011),"Basílica Menor de Santa María de la Asunción, Calle Cuesta Monjas, Arcos de la Frontera, Sierra de Cádiz, Cádiz, Andalucía, 11630, España","('36.74821011', '-5.80640518')","['Basílica Menor de Santa María de la Asunción', 'Calle Cuesta Monjas', 'Arcos de la Frontera', 'Sierra de Cádiz', 'Cádiz', 'Andalucía', '11630', 'España']",Andalucía,Cádiz,12
2091,36.70212746,-6.1287534,B,POINT (-6.1287534 36.70212746),"Colegio de Educación Infantil y Primaria Antonio Machado, Avenida de San Joaquín, El Paquete, Jerez de la Frontera, Campiña de Jerez, Cádiz, Andalucía, 11407, España","('36.70212746', '-6.1287534')","['Colegio de Educación Infantil y Primaria Antonio Machado', 'Avenida de San Joaquín', 'El Paquete', 'Jerez de la Frontera', 'Campiña de Jerez', 'Cádiz', 'Andalucía', '11407', 'España']",Andalucía,Cádiz,12
2092,41.56301538,0.52411008,B,POINT (0.52411008 41.56301538),"Carrer de França, Alcarràs, Segrià, Lleida, Catalunya, 25180, España","('41.56301538', '0.52411008')","['Carrer de França', 'Alcarràs', 'Segrià', 'Lleida', 'Catalunya', '25180', 'España']",Catalunya,Lleida,3
2093,42.52283979,-7.516844378,B,POINT (-7.516844378 42.52283979),"Casa do Concello, Praza Campo de San Antonio, Monforte de Lemos, Terra de Lemos, Lugo, Galicia, 27400, España","('42.52283979', '-7.516844378')","['Casa do Concello', 'Praza Campo de San Antonio', 'Monforte de Lemos', 'Terra de Lemos', 'Lugo', 'Galicia', '27400', 'España']",Galicia,Lugo,5
