id,lat,lon,category,geometry,address,geom,address_list,region,city
1619,41.56236346,2.01215141,B,POINT (2.01215141 41.56236346),"Catedral del Sant Esperit, Plaça Vella, Centre, Terrassa, Vallès Occidental, Barcelona, Catalunya, 08221, España","('41.56236346', '2.01215141')","['Catedral del Sant Esperit', 'Plaça Vella', 'Centre', 'Terrassa', 'Vallès Occidental', 'Barcelona', 'Catalunya', '08221', 'España']",Catalunya,Barcelona
1620,41.38074375,2.04579427,B,POINT (2.04579427 41.38074375),"Farmàcia Mireia Garrido Roman, 15, Plaça de la Vila, Can Nadal, Sant Feliu de Llobregat, Baix Llobregat, Barcelona, Catalunya, 08980, España","('41.38074375', '2.04579427')","['Farmàcia Mireia Garrido Roman', '15', 'Plaça de la Vila', 'Can Nadal', 'Sant Feliu de Llobregat', 'Baix Llobregat', 'Barcelona', 'Catalunya', '08980', 'España']",Catalunya,Barcelona
1621,38.09549321,-3.77583606,B,POINT (-3.77583606 38.09549321),"Iglesia de La Encarnacion, Calle Hijas de la Caridad, Bailén, Jaén, Andalucía, 23710, España","('38.09549321', '-3.77583606')","['Iglesia de La Encarnacion', 'Calle Hijas de la Caridad', 'Bailén', 'Jaén', 'Andalucía', '23710', 'España']",Andalucía,Jaén
1622,41.67155079,-3.68924298,B,POINT (-3.68924298 41.67155079),"Iglesia Santa María la Real, Plaza de Los Tercios, Aranda de Duero, Burgos, Castilla y León, 09400, España","('41.67155079', '-3.68924298')","['Iglesia Santa María la Real', 'Plaza de Los Tercios', 'Aranda de Duero', 'Burgos', 'Castilla y León', '09400', 'España']",Castilla y León,Burgos
1623,41.77641711,2.51241583,B,POINT (2.51241583 41.77641711),"Riells, Riells i Viabrea, Selva, Girona, Catalunya, 17404, España","('41.77641711', '2.51241583')","['Riells', 'Riells i Viabrea', 'Selva', 'Girona', 'Catalunya', '17404', 'España']",Catalunya,Girona
1624,43.25721957,-2.92390606,B,POINT (-2.92390606 43.25721957),"Catedral de Santiago / Done Jakue katedrala, Done Jakue plazatxoa / Plazuela Santiago, Ribera / Erribera, Casco Viejo, Ibaiondo, Bilbao, Bizkaia, Euskadi, 48005, España","('43.25721957', '-2.92390606')","['Catedral de Santiago / Done Jakue katedrala', 'Done Jakue plazatxoa / Plazuela Santiago', 'Ribera / Erribera', 'Casco Viejo', 'Ibaiondo', 'Bilbao', 'Bizkaia', 'Euskadi', '48005', 'España']",Euskadi,Bizkaia
1625,38.0505597,-1.21163275,B,POINT (-1.21163275 38.0505597),"Iglesia de Nuestra Señora de la Asunción, Calle del Pensionista, Los Vientos, Molina de Segura, Vega Media del Segura, Región de Murcia, 30500, España","('38.0505597', '-1.21163275')","['Iglesia de Nuestra Señora de la Asunción', 'Calle del Pensionista', 'Los Vientos', 'Molina de Segura', 'Vega Media del Segura', 'Región de Murcia', '30500', 'España']",Región de Murcia,Vega Media del Segura
1626,38.91738788,-6.34417211,B,POINT (-6.34417211 38.91738788),"Springfield, 32, Calle Santa Eulalia, San Antonio, Mérida, Badajoz, Extremadura, 06808, España","('38.91738788', '-6.34417211')","['Springfield', '32', 'Calle Santa Eulalia', 'San Antonio', 'Mérida', 'Badajoz', 'Extremadura', '06808', 'España']",Extremadura,Badajoz
1627,42.78894127,-4.84151005,B,POINT (-4.84151005 42.78894127),"Iglesia de San Juan Bautista, Calle Iglesia, Guardo, Palencia, Castilla y León, 34880, España","('42.78894127', '-4.84151005')","['Iglesia de San Juan Bautista', 'Calle Iglesia', 'Guardo', 'Palencia', 'Castilla y León', '34880', 'España']",Castilla y León,Palencia
1628,43.00988951,-7.555755439,B,POINT (-7.555755439 43.00988951),"Casa do Concello de Lugo, Muralla Romana, Lugo, Casco Vello, Lugo, Galicia, 27001, España","('43.00988951', '-7.555755439')","['Casa do Concello de Lugo', 'Muralla Romana', 'Lugo', 'Casco Vello', 'Lugo', 'Galicia', '27001', 'España']",Galicia,Lugo
1629,38.23115046,-1.69391338,B,POINT (-1.69391338 38.23115046),"Iglesia de San Pedro, Calle San Pedro, Calasparra, Noroeste, Región de Murcia, 30420, España","('38.23115046', '-1.69391338')","['Iglesia de San Pedro', 'Calle San Pedro', 'Calasparra', 'Noroeste', 'Región de Murcia', '30420', 'España']",Región de Murcia,Noroeste
1630,42.59076105,-2.79288705,B,POINT (-2.79288705 42.59076105),"Subida al Olmo kalea/Calle Subida al Olmo, Lore Eder, Labastida/Bastida, Arabako Errioxa/Rioja Alavesa, Araba/Álava, Euskadi, 01330, España","('42.59076105', '-2.79288705')","['Subida al Olmo kalea/Calle Subida al Olmo', 'Lore Eder', 'Labastida/Bastida', 'Arabako Errioxa/Rioja Alavesa', 'Araba/Álava', 'Euskadi', '01330', 'España']",Euskadi,Araba/Álava
1631,39.3581245,-0.60318184,B,POINT (-0.60318184 39.3581245),"Iglesia Parroquial de la Asunción, Carrer les Germanies, Montserrat, la Ribera Alta, València / Valencia, Comunitat Valenciana, 46192, España","('39.3581245', '-0.60318184')","['Iglesia Parroquial de la Asunción', 'Carrer les Germanies', 'Montserrat', 'la Ribera Alta', 'València / Valencia', 'Comunitat Valenciana', '46192', 'España']",Comunitat Valenciana,València / Valencia
1632,38.98797116,-0.51869568,B,POINT (-0.51869568 38.98797116),"Basílica Santa María La Seo, Plaça Calixte III, Xàtiva, la Costera, València / Valencia, Comunitat Valenciana, 46800, España","('38.98797116', '-0.51869568')","['Basílica Santa María La Seo', 'Plaça Calixte III', 'Xàtiva', 'la Costera', 'València / Valencia', 'Comunitat Valenciana', '46800', 'España']",Comunitat Valenciana,València / Valencia
1633,41.69957944,2.84739507,B,POINT (2.84739507 41.69957944),"Sant Romà, Plaça de l'Esglèsia, Lloret de Mar, Selva, Girona, Catalunya, 17310, España","('41.69957944', '2.84739507')","['Sant Romà', ""Plaça de l'Esglèsia"", 'Lloret de Mar', 'Selva', 'Girona', 'Catalunya', '17310', 'España']",Catalunya,Girona
1634,35.88810209,-5.30675127,B,POINT (-5.30675127 35.88810209),"Centro Global 2, Calle Isabel Cabral, La Salud, Ceuta, 51001, España","('35.88810209', '-5.30675127')","['Centro Global 2', 'Calle Isabel Cabral', 'La Salud', 'Ceuta', '51001', 'España']",Ceuta,La Salud
1635,41.5408469,2.44658062,B,POINT (2.44658062 41.5408469),"Església de Santa Maria, Plaça Santa Maria, Centre, Mataró, Maresme, Barcelona, Catalunya, 08301, España","('41.5408469', '2.44658062')","['Església de Santa Maria', 'Plaça Santa Maria', 'Centre', 'Mataró', 'Maresme', 'Barcelona', 'Catalunya', '08301', 'España']",Catalunya,Barcelona
1636,40.5470547,-3.62671879,B,POINT (-3.62671879 40.5470547),"Parroquia de San Sebastián Mártir, Plaza de la Constitución, San Sebastián de los Reyes, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28703, España","('40.5470547', '-3.62671879')","['Parroquia de San Sebastián Mártir', 'Plaza de la Constitución', 'San Sebastián de los Reyes', 'Área metropolitana de Madrid y Corredor del Henares', 'Comunidad de Madrid', '28703', 'España']",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del Henares
